Symptom,Description,English_Symptoms
Vatavikara,Disorders related to the Vata dosha.,"pain, stiffness, cracking, swelling in joints, dryness, redness, loss of vision, constipation, flatulence, abdominal pain"
Netraroga,Eye disorders.,"Eye pain, redness, dryness, itching, twitching"
Malavarodha,Constipation.,"Constipation, flatulence, abdominal pain, distension"
Sutikadosha,Postpartum disorders.,"fever, bleeding, infection, depression"
Vrana,Wounds or injuries.,"wounds, ulcers, hard, painful, inflamed, infected"
Khalitya,Hair loss.,"Hair loss, baldness"
Raktasrava,Bleeding disorders.,"Bleeding from nose, Bleeding from mouth, Bleeding from anus, Bleeding from genitals"
Svarabheda,Voice disorders.,"Hoarseness of voice, Loss of voice, irritation in throat, infection of the vocal c ds"
Arbuda,Tumors or growths.,"Tum s, circular growth, fixed, slightly painful, big, slow-growing"
Raktadushti,Blood impurities.,"Pale complexion, Fatigue weakness, Easy bruising, Skin dis ders like acne, eczema, rashes, Irregular menstrual cycles"
Shulahara,Pain management.,"Colicky pain in the abdomen, Distention bloating of the abdomen, Nausea vomiting"
Pittadushti,Pitta dosha imbalance.,"Increased body heat feeling of warmth, jaundice,  Acid reflux heartburn, Excessive thirst"
Vatarakta,Gout.,"severe joint pain, Swelling, redness, tenderness in the affected jointsLimited range of motion in the affected joints"
Shirogatavata,Headache due to Vata imbalance.,"Headaches, especially migraines, Neck pain stiffness, Tinnitus , ringing in the ears, , Vertigo dizziness"
Rajodosha,Menstrual disorders.,"Irregular painful menstruation, Infertility, mood swings, hormonal imbalance, Asthma, bronchitis, cough, difficulty breathing"
Vishuchika,Dysentery.,"chills, vomiting, diarrhea, dehydration."
Kastartava,Painful menstruation.,"infertility, mood swings, hormonal imbalance."
Garadosha,Leprosy.,"asthma, bronchitis, cough, difficulty breathing."
Urahkshata,Chest injury.,"Chest pain, cough, difficulty breathing, Hemoptysis blood vomiting, Fever, thirst, loss of taste"
Vatavyadhi,Diseases related to Vata dosha.,"arthritis, sciatica, neuralgia, paralysis, insomnia."
Dhatukshaya,Tissue depletion.,"weakness, fatigue, weight loss, anemia."
Yonishula,Pelvic pain.,"Pain, burning, itching in the vagina, vulva, cervix, Abn mal vaginal discharge, od , bleeding"
Vidvibandha,Constipation due to neurological causes.,"abdominal pain, bloating, hem rhoids."
Gudapaka,Anal disorders.,"inflammation, ulceration, fistula."
Shirahshula,Headache.,"nausea, vomiting, sensitivity to light sound."
Mahavataroga,Severe skin diseases.,"shortness of breath, fatigue, sweating, Nosebleed, ringing in the ears, redness in the face"
Hriddaha,Heartburn.,"indigestion, belching, sour taste in the mouth."
Shvitra,Leucoderma or vitiligo.,white patches depigmentation
Amavata,Rheumatoid arthritis.,"pain, stiffness, swelling in the joints, especially in the hs feet."
Rajodushti,Menstrual disorders.,"Irregular painful menstruation, Infertility, mood swings, hormonal imbalance"
Shiroroga,Head disorders.,"epilepsy, stroke, dementia, brain tum ."
Dushtavrana,Infected wounds.,"produce pus, od , pain."
Chhardi,Vomiting.,"dehydration, electrolyte imbalance, weakness."
Nadivrana,Sinusitis.,"bleeding, discharge, infection"
Raktarsha,Hemorrhoids.,"bleeding from the anus, pain, itching, infection"
Indralupta,Alopecia areata.,"hair loss baldness that may affect the scalp, eyebrows,eyelashes"
Yoniroga,Gynecological disorders.,"menstrual dis ders, infertility, pelvic inflammat y disease,cervical cancer"
Balaroga,Pediatric diseases.,"fever, diarrhea, malnutrition, respirat y infections."
Hriddrava,Cardiac effusion.,"sh tness of breath, swelling,fatigue."
Bhagandar,Fistula-in-ano.,"bleeding, discharge, pain"
Vranashotha,Swelling of wounds.,"Pain, redness, heat in the affected area, Blisters, pus, od from the wound, Fever, thirst, loss of taste"
Ardhavbhedaka,Migraine.,"nausea, vomiting, sensitivity to sound light."
Granthi,Cyst or tumor.,"pain, pressure, obstruction."
Sandhigatavata,Osteoarthritis.,"pain, stiffness, reduced mobility."
Agnidagdha,Burnt by digestive fire (related to digestion).,"pain, blisters, infection."
Manodvega,Mental disorders.,"palpitations, sweating, panic attacks"
Pittaroga,Diseases related to Pitta dosha.,"urinary obstruction retention, headache migraine, conjunctivitis, glaucoma, cataract"
Mutraghata,Urinary obstruction.,"frequent, urgent, incomplete urination."
Suryavarta,Sunstroke.,headache migraine
Pittajanetravyadhi,Disorders of the urinary system related to Pitta dosha.,"conjunctivitis, glaucoma, cataract"
Vastigatashula,Pain related to enema administration.,"frequent, urgent, incomplete urination."
Shula,Abdominal pain.,"cramps, spasms, contractions in the affected area."
Mukhdaurgandhya,Foul smell from the mouth.,"unpleasant od , taste, sensation in the mouth."
Vatajashula,Abdominal pain due to Vata dosha.,"Stiffness, numbness, tingling in the affected area, Cramps, spasms, contractions in the muscles gans"
Urustambha,Thigh stiffness.,"difficulty in walking, bending, stretching."
Anidra,Insomnia.,"fatigue, irritability, po concentration."
Anaha,Bloating.,"bloating, distension, rumbling in the stomach."
Sandhigraha,Joint stiffness.,"reduced range of motion, cracking, popping in the joints."
Urdhvagaraktapitta,Upper gastrointestinal bleeding.,"vomiting, coughing, spitting of blood."
Hrid-daurbalya,Weakness of the heart.,"palpitations, chest pain, sh tness of breath."
Sandhivedana,Joint pain.,"swelling, stiffness, reduced mobility in the affected joints."
Padadaha,Foot burning sensation.,"numbness, tingling, redness in the feet."
Amvata,Rheumatism.,"pain, stiffness, swelling in the joints, especially in the hs feet."
Khalli,Abscess.,"difficulty in swallowing, speaking, breathing."
Dagdhavrana,Burn wounds.,"pain, blisters, infection."
Kshata,Injury.,"coughing, bleeding, difficulty breathing."
Gandamala,Tonsillitis.,"pain, fever, difficulty swallowing"
Kushtha,Skin diseases.,"itching, scaling, discol ation of the skin."
Manoroga,Mental disorders.,"mood swings, hallucinations, suicidal thoughts."
Manodosha,Psychological imbalances.,"anger, fear, sadness."
Panduduarbalya,Anemia and weakness.,"pall , fatigue, weakness"
Atisara,Diarrhea.,"dehydration, electrolyte imbalance, abdominal pain."
Hikka,Hiccups.,"discomf t, irritation, difficulty in breathing."
Dadru,Fungal skin infections.,"circular, red, scaly patches on the skin."
Arma,Filariasis.,"rastigmatism, redness, watering, f eign body sensation"
Twakvikara,Skin disorders.,"itching, redness, inflammation, rash changes in skin texture"
Agnimandhya,Digestive weakness.,"pain in abdomen, fullness distension of abdomen, constipation, dryness of mouth, weakness"
Pittajaroga,Diseases related to Pitta dosha.,"fever, vomiting, heatburn, irritability, inflammation, sweating, thirst, fating"
Praseka,Excessive salivation.,"Flowing froth, oozing, Emission, running watering of the mouth nose , vomiting"
Medoroga,Disorders related to fat tissue.,"thirst, bewilderment, sleepiness, difficulty in breathing, weariness, hunger, perspiration"
Raktajroga,Diseases of blood.,"hirst, fever, ulcers, burning sensation, chapping of lips."
Agnimandya,Digestive weakness.,"heaviness in abdomen, lack of appetite, heaviness in head"
